filename,age_group,gender,race,is_generated,mask_level,strategy
1_0_0_20231111193227246255.png,1,0,0,True,accurate,ucb
1_0_0_20231111193255296489.png,1,0,0,True,accurate,ucb
1_0_0_20231111193315556659.png,1,0,0,True,accurate,ucb
1_0_0_20231111193336761200.png,1,0,0,True,accurate,ucb
1_0_0_20231111193416016172.png,1,0,0,True,accurate,ucb
1_1_2_20231111193441135435.png,1,1,2,True,accurate,ucb
1_1_2_20231111193504617399.png,1,1,2,True,accurate,ucb
1_1_2_20231111193555680970.png,1,1,2,True,accurate,ucb
1_1_2_20231111193615315807.png,1,1,2,True,accurate,ucb
2_0_3_20231111193643386716.png,2,0,3,True,accurate,ucb
2_0_3_20231111193717106519.png,2,0,3,True,accurate,ucb
2_0_3_20231111193736861514.png,2,0,3,True,accurate,ucb
2_0_3_20231111193759660353.png,2,0,3,True,accurate,ucb
2_0_3_20231111193823041625.png,2,0,3,True,accurate,ucb
2_0_3_20231111193917969119.png,2,0,3,True,accurate,ucb
2_1_1_20231111193951431213.png,2,1,1,True,accurate,ucb
2_1_1_20231111194020956812.png,2,1,1,True,accurate,ucb
2_1_1_20231111194054834371.png,2,1,1,True,accurate,ucb
2_1_1_20231111194152046784.png,2,1,1,True,accurate,ucb
2_1_1_20231111194219666469.png,2,1,1,True,accurate,ucb
3_0_2_20231111194240375652.png,3,0,2,True,accurate,ucb
3_0_2_20231111194259404856.png,3,0,2,True,accurate,ucb
3_0_2_20231111194328394374.png,3,0,2,True,accurate,ucb
3_0_2_20231111194353106762.png,3,0,2,True,accurate,ucb
3_0_2_20231111194419477039.png,3,0,2,True,accurate,ucb
3_0_2_20231111194436999020.png,3,0,2,True,accurate,ucb
3_1_0_20231111194537686174.png,3,1,0,True,accurate,ucb
3_1_0_20231111194555803914.png,3,1,0,True,accurate,ucb
3_1_0_20231111194616472146.png,3,1,0,True,accurate,ucb
3_1_0_20231111194637844268.png,3,1,0,True,accurate,ucb
4_0_3_20231111194704861073.png,4,0,3,True,accurate,ucb
4_0_3_20231111194726632742.png,4,0,3,True,accurate,ucb
4_0_3_20231111194755197584.png,4,0,3,True,accurate,ucb
4_0_3_20231111194817558715.png,4,0,3,True,accurate,ucb
4_0_3_20231111194838743721.png,4,0,3,True,accurate,ucb
4_1_2_20231111194858654816.png,4,1,2,True,accurate,ucb
4_1_2_20231111194919508157.png,4,1,2,True,accurate,ucb
4_1_2_20231111194941981129.png,4,1,2,True,accurate,ucb
4_1_2_20231111195003545690.png,4,1,2,True,accurate,ucb
4_1_2_20231111195045236745.png,4,1,2,True,accurate,ucb
5_0_1_20231111195110498741.png,5,0,1,True,accurate,ucb
5_0_1_20231111195131813587.png,5,0,1,True,accurate,ucb
5_0_1_20231111195241778835.png,5,0,1,True,accurate,ucb
5_0_1_20231111195337181186.png,5,0,1,True,accurate,ucb
5_0_1_20231111195423556563.png,5,0,1,True,accurate,ucb
5_1_0_20231111195446132949.png,5,1,0,True,accurate,ucb
5_1_0_20231111195509625772.png,5,1,0,True,accurate,ucb
5_1_0_20231111195626840708.png,5,1,0,True,accurate,ucb
5_1_0_20231111195646901261.png,5,1,0,True,accurate,ucb
5_1_0_20231111195707444345.png,5,1,0,True,accurate,ucb
5_1_0_20231111195759847493.png,5,1,0,True,accurate,ucb
6_0_0_20231111195832044560.png,6,0,0,True,accurate,ucb
6_0_0_20231111195853971593.png,6,0,0,True,accurate,ucb
6_0_0_20231111195916815158.png,6,0,0,True,accurate,ucb
6_0_0_20231111195938172707.png,6,0,0,True,accurate,ucb
6_0_0_20231111200003596087.png,6,0,0,True,accurate,ucb
6_1_3_20231111200027522045.png,6,1,3,True,accurate,ucb
6_1_3_20231111200048700781.png,6,1,3,True,accurate,ucb
6_1_3_20231111200117143207.png,6,1,3,True,accurate,ucb
6_1_3_20231111200141401884.png,6,1,3,True,accurate,ucb
7_0_2_20231111200209811196.png,7,0,2,True,accurate,ucb
7_0_2_20231111200229113431.png,7,0,2,True,accurate,ucb
7_0_2_20231111200249795037.png,7,0,2,True,accurate,ucb
7_0_2_20231111200316928691.png,7,0,2,True,accurate,ucb
7_0_2_20231111200420349310.png,7,0,2,True,accurate,ucb
7_1_1_20231111200445463484.png,7,1,1,True,accurate,ucb
7_1_1_20231111200514052077.png,7,1,1,True,accurate,ucb
7_1_1_20231111200533923795.png,7,1,1,True,accurate,ucb
7_1_1_20231111200559418886.png,7,1,1,True,accurate,ucb
7_1_1_20231111200622781893.png,7,1,1,True,accurate,ucb
0_0_1_20231111200646265384.png,0,0,1,True,accurate,ucb
0_0_1_20231111200737758999.png,0,0,1,True,accurate,ucb
0_1_3_20231111200805576766.png,0,1,3,True,accurate,ucb
0_0_1_20231111200827493751.png,0,0,1,True,accurate,ucb
0_1_3_20231111200921742011.png,0,1,3,True,accurate,ucb
0_0_1_20231111200949641359.png,0,0,1,True,accurate,ucb
0_1_3_20231111201013968007.png,0,1,3,True,accurate,ucb
0_0_1_20231111201038069562.png,0,0,1,True,accurate,ucb
0_1_3_20231111201100504521.png,0,1,3,True,accurate,ucb
0_0_1_20231111201221689245.png,0,0,1,True,accurate,ucb
1_0_0_20231112180223351092.png,1,0,0,True,moderate,ucb
1_0_0_20231112180337514632.png,1,0,0,True,moderate,ucb
1_0_0_20231112180406930075.png,1,0,0,True,moderate,ucb
1_0_0_20231112180425825380.png,1,0,0,True,moderate,ucb
1_0_0_20231112180445405641.png,1,0,0,True,moderate,ucb
1_1_2_20231112180509775986.png,1,1,2,True,moderate,ucb
1_1_2_20231112180531100141.png,1,1,2,True,moderate,ucb
1_1_2_20231112180552597972.png,1,1,2,True,moderate,ucb
1_1_2_20231112180613275663.png,1,1,2,True,moderate,ucb
2_0_3_20231112180634079915.png,2,0,3,True,moderate,ucb
2_0_3_20231112180723581380.png,2,0,3,True,moderate,ucb
2_0_3_20231112180806704572.png,2,0,3,True,moderate,ucb
2_0_3_20231112180834400994.png,2,0,3,True,moderate,ucb
2_0_3_20231112180903353927.png,2,0,3,True,moderate,ucb
2_0_3_20231112181034492626.png,2,0,3,True,moderate,ucb
2_1_1_20231112181203229948.png,2,1,1,True,moderate,ucb
2_1_1_20231112181238102675.png,2,1,1,True,moderate,ucb
2_1_1_20231112181306505501.png,2,1,1,True,moderate,ucb
2_1_1_20231112181408735320.png,2,1,1,True,moderate,ucb
2_1_1_20231112181432527474.png,2,1,1,True,moderate,ucb
3_0_2_20231112181451945393.png,3,0,2,True,moderate,ucb
3_0_2_20231112181513372106.png,3,0,2,True,moderate,ucb
3_0_2_20231112181533824949.png,3,0,2,True,moderate,ucb
3_0_2_20231112181557572093.png,3,0,2,True,moderate,ucb
3_0_2_20231112181618269360.png,3,0,2,True,moderate,ucb
3_0_2_20231112181712708847.png,3,0,2,True,moderate,ucb
3_1_0_20231112181736189939.png,3,1,0,True,moderate,ucb
3_1_0_20231112181823158505.png,3,1,0,True,moderate,ucb
3_1_0_20231112181850064032.png,3,1,0,True,moderate,ucb
3_1_0_20231112181908136932.png,3,1,0,True,moderate,ucb
4_0_3_20231112181938325798.png,4,0,3,True,moderate,ucb
4_0_3_20231112182030384065.png,4,0,3,True,moderate,ucb
4_0_3_20231112182047893562.png,4,0,3,True,moderate,ucb
4_0_3_20231112182105930379.png,4,0,3,True,moderate,ucb
4_0_3_20231112182126990321.png,4,0,3,True,moderate,ucb
4_1_2_20231112182152249254.png,4,1,2,True,moderate,ucb
4_1_2_20231112182219821726.png,4,1,2,True,moderate,ucb
4_1_2_20231112182242768792.png,4,1,2,True,moderate,ucb
4_1_2_20231112182312612634.png,4,1,2,True,moderate,ucb
4_1_2_20231112182336368335.png,4,1,2,True,moderate,ucb
5_0_1_20231112182403243494.png,5,0,1,True,moderate,ucb
5_0_1_20231112182424221622.png,5,0,1,True,moderate,ucb
5_0_1_20231112182455696024.png,5,0,1,True,moderate,ucb
